3502.52	1048
3501.25	1048
3499.98	1054
3498.71	1064
3497.44	1074
3496.17	1062
3494.9	1048
3493.62	1029
3492.35	1060
3491.08	1019
3489.8	1023
3488.53	1034
3487.26	1034
3485.98	1036
3484.71	1031
3483.43	1025
3482.16	1035
3480.88	1043
3479.6	1050
3478.33	1041
3477.05	1038
3475.77	1031
3474.5	1047
3473.22	1027
3471.94	1036
3470.66	1019
3469.38	1025
3468.1	1035
3466.82	1031
3465.54	1032
3464.26	1049
3462.98	1020
3461.7	1009
3460.42	1013
3459.14	1026
3457.86	1060
3456.57	1050
3455.29	1028
3454.01	1000
3452.73	1003
3451.44	988
3450.16	1009
3448.87	1006
3447.59	1022
3446.3	1025
3445.02	1038
3443.73	1024
3442.45	1031
3441.16	1029
3439.88	1024
3438.59	999
3437.3	1022
3436.01	1029
3434.73	1016
3433.44	1022
3432.15	1011
3430.86	1033
3429.57	1050
3428.28	1008
3426.99	1017
3425.7	1019
3424.41	1002
3423.12	999
3421.83	1014
3420.54	1034
3419.24	1013
3417.95	1007
3416.66	1007
3415.37	1013
3414.07	1037
3412.78	1024
3411.48	1015
3410.19	1015
3408.9	1004
3407.6	1006
3406.31	1008
3405.01	1019
3403.72	1009
3402.42	994
3401.12	991
3399.82	988
3398.53	1011
3397.23	1002
3395.93	1017
3394.63	1013
3393.33	1014
3392.04	1015
3390.74	1009
3389.44	1030
3388.14	998
3386.84	1015
3385.53	981
3384.23	988
3382.93	993
3381.63	1013
3380.33	1027
3379.03	1006
3377.72	1012
3376.42	1008
3375.12	1016
3373.81	1005
3372.51	995
3371.2	1010
3369.9	1042
3368.59	998
3367.29	994
3365.98	1005
3364.68	1031
3363.37	1017
3362.06	1015
3360.76	1031
3359.45	998
3358.14	1017
3356.83	996
3355.52	1013
3354.22	1013
3352.91	1003
3351.6	1008
3350.29	1032
3348.98	982
3347.67	1008
3346.36	1021
3345.04	1026
3343.73	1024
3342.42	1025
3341.11	1016
3339.8	1022
3338.48	983
3337.17	984
3335.86	998
3334.54	992
3333.23	1009
3331.91	999
3330.6	996
3329.28	973
3327.97	1000
3326.65	1012
3325.34	971
3324.02	988
3322.7	998
3321.38	1018
3320.07	1018
3318.75	1003
3317.43	1014
3316.11	1023
3314.79	1019
3313.47	991
3312.15	989
3310.83	1021
3309.51	1009
3308.19	999
3306.87	987
3305.55	1032
3304.23	1014
3302.9	1002
3301.58	991
3300.26	1007
3298.94	1004
3297.61	991
3296.29	1017
3294.96	1007
3293.64	1017
3292.31	1018
3290.99	1037
3289.66	982
3288.34	971
3287.01	994
3285.68	1003
3284.36	1030
3283.03	997
3281.7	1009
3280.37	1005
3279.05	997
3277.72	997
3276.39	994
3275.06	1014
3273.73	978
3272.4	1000
3271.07	1018
3269.74	1045
3268.41	1015
3267.08	1009
3265.74	1004
3264.41	993
3263.08	996
3261.75	989
3260.41	1024
3259.08	1022
3257.75	1004
3256.41	998
3255.08	1002
3253.74	1020
3252.41	1005
3251.07	1008
3249.74	999
3248.4	1003
3247.06	1008
3245.73	996
3244.39	1004
3243.05	1017
3241.71	1031
3240.37	1032
3239.04	1016
